exp_time,seed,method,batch_size,datasets,splitter,client_num,local_updates,test_acc,proto_weight,local_eval_whole_test_dataset
2023-07-06 17:05,0,fedproto,256,femnist,,5,1,0.5975380737880738,0.1,False
2023-07-06 17:07,1,fedproto,256,femnist,,5,1,0.6521498283998284,0.1,False
2023-07-06 17:08,2,fedproto,256,femnist,,5,1,0.6946160446160446,0.1,False
2023-07-06 17:10,0,fedproto,256,femnist,,5,1,0.6989017589017589,0.1,False
2023-07-06 17:12,1,fedproto,256,femnist,,5,1,0.6936550836550837,0.1,False
2023-07-06 17:15,2,fedproto,256,femnist,,5,1,0.7054606392106392,0.1,False
2023-07-06 17:17,3,fedproto,256,femnist,,5,1,0.7003217503217503,0.1,False
2023-07-06 17:20,0,fedproto,256,femnist,,5,10,0.7121273058773058,0.1,False
2023-07-06 17:22,1,fedproto,256,femnist,,5,10,0.7054606392106392,0.1,False
2023-07-06 17:27,2,fedproto,256,femnist,,5,10,0.6992106392106392,0.1,False
2023-07-06 17:30,3,fedproto,256,femnist,,5,10,0.7175327112827112,0.1,False
2023-07-06 17:35,0,fedproto,256,femnist,,5,20,0.7175327112827112,0.1,False
2023-07-06 17:41,1,fedproto,256,femnist,,5,20,0.6999050836550836,0.1,False
2023-07-06 17:45,2,fedproto,256,femnist,,5,20,0.7108660446160446,0.1,False
2023-07-06 17:49,3,fedproto,256,femnist,,5,20,0.7057271557271557,0.1,False
2023-07-06 17:51,0,fedproto,256,femnist,,5,1,0.6375466537966539,1.0,False
2023-07-06 17:53,1,fedproto,256,femnist,,5,1,0.6165717503217503,1.0,False
2023-07-06 17:54,2,fedproto,256,femnist,,5,1,0.5996273058773058,1.0,False
2023-07-06 17:56,3,fedproto,256,femnist,,5,1,0.5758687258687258,1.0,False
2023-07-06 18:00,0,fedproto,256,femnist,,5,10,0.7175327112827112,1.0,False
2023-07-06 18:04,1,fedproto,256,femnist,,5,10,0.7054606392106392,1.0,False
2023-07-06 18:08,2,fedproto,256,femnist,,5,10,0.7108660446160446,1.0,False
2023-07-06 18:11,3,fedproto,256,femnist,,5,10,0.7112827112827113,1.0,False
2023-07-06 18:14,0,fedproto,256,femnist,,5,20,0.7219771557271557,1.0,False
2023-07-06 18:23,1,fedproto,256,femnist,,5,20,0.7108660446160446,1.0,False
2023-07-06 18:29,2,fedproto,256,femnist,,5,20,0.7121273058773058,1.0,False
2023-07-06 18:35,3,fedproto,256,femnist,,5,20,0.7046160446160445,1.0,False
2023-07-06 18:36,0,fedproto,256,femnist,,5,1,0.11829954954954955,10.0,False
2023-07-06 18:37,1,fedproto,256,femnist,,5,1,0.12098938223938224,10.0,False
2023-07-06 18:38,2,fedproto,256,femnist,,5,1,0.10436239811239811,10.0,False
2023-07-06 18:40,3,fedproto,256,femnist,,5,1,0.33376823251823257,10.0,False
2023-07-06 18:45,0,fedproto,256,femnist,,5,10,0.699060489060489,10.0,False
2023-07-06 18:48,1,fedproto,256,femnist,,5,10,0.6944996782496782,10.0,False
2023-07-06 18:53,2,fedproto,256,femnist,,5,10,0.6997549335049336,10.0,False
2023-07-06 18:58,3,fedproto,256,femnist,,5,10,0.6825439725439726,10.0,False
2023-07-06 19:02,0,fedproto,256,femnist,,5,20,0.7050327112827113,10.0,False
2023-07-06 19:06,1,fedproto,256,femnist,,5,20,0.692810489060489,10.0,False
2023-07-06 19:17,2,fedproto,256,femnist,,5,20,0.699060489060489,10.0,False
2023-07-06 19:28,3,fedproto,256,femnist,,5,20,0.6997549335049336,10.0,False
