exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,alpha,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023-07-27 17:09,0,Local,32,Adam,0.01,office_caltech,,5,1,0.2923783262360938,64,0.5,0.5,5000,1,0.001,100,False,0.3391469108951165
2023-07-27 17:13,1,Local,32,Adam,0.01,office_caltech,,5,1,0.2754268271123316,61,0.5,0.5,5000,1,0.001,100,False,0.3368769103642464
2023-07-27 17:17,2,Local,32,Adam,0.01,office_caltech,,5,1,0.2859899261607041,83,0.5,0.5,5000,1,0.001,100,False,0.33673407205871525
2023-07-27 17:21,0,Local,32,Adam,0.01,office_caltech,,5,1,0.428787670395501,12,0.5,0.5,5000,1,0.001,1.0,False,0.4976210225375822
2023-07-27 17:25,1,Local,32,Adam,0.01,office_caltech,,5,1,0.3912389910047163,66,0.5,0.5,5000,1,0.001,1.0,False,0.4709443490292335
2023-07-27 17:29,2,Local,32,Adam,0.01,office_caltech,,5,1,0.41917108084470095,25,0.5,0.5,5000,1,0.001,1.0,False,0.47247873729821743
2023-07-27 17:33,0,Local,32,Adam,0.01,office_caltech,,5,1,0.7166115034789587,0,0.5,0.5,5000,1,0.001,0.1,False,0.7797415023239642
2023-07-27 17:37,1,Local,32,Adam,0.01,office_caltech,,5,1,0.715353724088231,0,0.5,0.5,5000,1,0.001,0.1,False,0.7851789568580718
2023-07-27 17:41,2,Local,32,Adam,0.01,office_caltech,,5,1,0.755712337308082,40,0.5,0.5,5000,1,0.001,0.1,False,0.7854537723436346
2023-07-27 17:45,0,Local,32,Adam,0.001,office_caltech,,5,1,0.3593691893271136,95,0.5,0.5,5000,1,0.001,100,False,0.4063137025227611
2023-07-27 17:49,1,Local,32,Adam,0.001,office_caltech,,5,1,0.325624186884809,99,0.5,0.5,5000,1,0.001,100,False,0.39715490396539815
2023-07-27 17:53,2,Local,32,Adam,0.001,office_caltech,,5,1,0.322704959424702,24,0.5,0.5,5000,1,0.001,100,False,0.3860924687061144
2023-07-27 17:57,0,Local,32,Adam,0.001,office_caltech,,5,1,0.46129212277880444,30,0.5,0.5,5000,1,0.001,1.0,False,0.5284422947612935
2023-07-27 18:01,1,Local,32,Adam,0.001,office_caltech,,5,1,0.47383186801431354,85,0.5,0.5,5000,1,0.001,1.0,False,0.5246300054780478
2023-07-27 18:04,2,Local,32,Adam,0.001,office_caltech,,5,1,0.43892572072771047,91,0.5,0.5,5000,1,0.001,1.0,False,0.5078856145993502
2023-07-27 18:08,0,Local,32,Adam,0.001,office_caltech,,5,1,0.7632653395025715,0,0.5,0.5,5000,1,0.001,0.1,False,0.8152901365392786
2023-07-27 18:12,1,Local,32,Adam,0.001,office_caltech,,5,1,0.7804366877419888,0,0.5,0.5,5000,1,0.001,0.1,False,0.8024097887927676
2023-07-27 18:16,2,Local,32,Adam,0.001,office_caltech,,5,1,0.7636349377404729,0,0.5,0.5,5000,1,0.001,0.1,False,0.8121998681738679
