exp_time,seed,method,batch_size,optimizer,lr,datasets,splitter,client_num,local_updates,test_acc,best_round,fml_alpha,fml_beta,fedmd_public_subset_size,fedmd_digest_epochs,fedhenn_eta,local_eval_whole_test_dataset,individual_best_test_acc_avg
2023/7/27 11:45,0,local,256,Adam,0.01,femnist,,5,1,0.62716109,81,0.5,0.5,5000,1,0.001,FALSE,0.669777456
2023/7/27 11:46,1,local,256,Adam,0.01,femnist,,5,1,0.66344541,177,0.5,0.5,5000,1,0.001,FALSE,0.669159695
2023/7/27 11:47,2,local,256,Adam,0.01,femnist,,5,1,0.658348885,169,0.5,0.5,5000,1,0.001,FALSE,0.688516195
2023/7/27 11:48,0,local,256,Adam,0.001,femnist,,5,1,0.698910339,48,0.5,0.5,5000,1,0.001,FALSE,0.722938117
2023/7/27 11:49,1,local,256,Adam,0.001,femnist,,5,1,0.682393822,54,0.5,0.5,5000,1,0.001,FALSE,0.705310489
2023/7/27 11:50,2,local,256,Adam,0.001,femnist,,5,1,0.710866045,73,0.5,0.5,5000,1,0.001,FALSE,0.710866045
2023/7/27 11:52,0,local,256,SGD,0.01,femnist,,5,1,0.699627306,92,0.5,0.5,5000,1,0.001,FALSE,0.711282711
2023/7/27 11:53,1,local,256,SGD,0.01,femnist,,5,1,0.705877306,133,0.5,0.5,5000,1,0.001,FALSE,0.705877306
2023/7/27 11:54,2,local,256,SGD,0.01,femnist,,5,1,0.70407175,163,0.5,0.5,5000,1,0.001,FALSE,0.716143822
2023/7/27 11:55,0,local,256,SGD,0.001,femnist,,5,1,0.363419133,199,0.5,0.5,5000,1,0.001,FALSE,0.363419133
2023/7/27 11:56,1,local,256,SGD,0.001,femnist,,5,1,0.383059309,187,0.5,0.5,5000,1,0.001,FALSE,0.383059309
2023/7/27 11:57,2,local,256,SGD,0.001,femnist,,5,1,0.42025311,197,0.5,0.5,5000,1,0.001,FALSE,0.42025311
